contractor_id,mine_id,contractor_name,work_type,contract_start,contract_end,licence_expiry,insurance_expiry,worker_count,training_compliance_pct,ppe_compliance_pct,medical_compliance_pct,open_violations,incidents,overdue_actions,contractor_risk_score,status,data_source
CTR-0021,M007,Demo Contractor M007-3,Drilling & Blasting,2025-08-20,2026-11-13,2027-05-14,2027-10-13,27,84,82,97,3,1,2,50,WATCH,DEMO_SYNTHETIC
CTR-0022,M008,Demo Contractor M008-1,Civil Works,2024-11-23,2027-08-20,2027-06-17,2027-05-26,26,90,94,100,0,1,0,27,ACTIVE,DEMO_SYNTHETIC
CTR-0023,M008,Demo Contractor M008-2,Drilling & Blasting,2025-12-29,2027-05-26,2027-07-11,2027-02-13,51,89,90,97,1,0,1,37,ACTIVE,DEMO_SYNTHETIC
CTR-0024,M008,Demo Contractor M008-3,Civil Works,2025-07-18,2027-01-06,2026-09-20,2027-05-17,23,100,89,98,1,1,2,30,ACTIVE,DEMO_SYNTHETIC
CTR-0025,M009,Demo Contractor M009-1,Underground Development,2025-06-26,2026-11-14,2026-08-14,2027-06-09,41,100,95,95,0,0,0,10,ACTIVE,DEMO_SYNTHETIC
CTR-0026,M009,Demo Contractor M009-2,Overburden Removal,2026-05-12,2026-11-02,2026-09-15,2026-12-29,23,96,100,100,0,0,0,10,ACTIVE,DEMO_SYNTHETIC
CTR-0027,M009,Demo Contractor M009-3,Underground Development,2025-08-10,2028-06-18,2027-02-14,2027-01-29,45,100,95,97,2,0,1,32,ACTIVE,DEMO_SYNTHETIC
CTR-0028,M010,Demo Contractor M010-1,Civil Works,2026-01-06,2027-09-28,2027-03-10,2026-11-01,46,96,80,96,2,2,2,44,ACTIVE,DEMO_SYNTHETIC
CTR-0029,M010,Demo Contractor M010-2,Overburden Removal,2024-04-26,2026-11-27,2026-10-01,2027-06-07,14,88,93,93,2,1,1,41,ACTIVE,DEMO_SYNTHETIC
CTR-0030,M010,Demo Contractor M010-3,Electrical Maintenance,2025-03-14,2028-05-03,2026-11-14,2027-05-17,65,85,81,90,1,1,2,40,ACTIVE,DEMO_SYNTHETIC
CTR-0031,M011,Demo Contractor M011-1,Underground Development,2024-12-26,2028-03-03,2026-10-27,2027-04-22,63,88,82,96,1,1,0,38,ACTIVE,DEMO_SYNTHETIC
CTR-0032,M011,Demo Contractor M011-2,Coal Transport,2025-01-26,2028-05-08,2026-09-02,2026-09-29,12,92,80,90,2,1,2,52,WATCH,DEMO_SYNTHETIC
CTR-0033,M011,Demo Contractor M011-3,Drilling & Blasting,2024-05-18,2028-05-18,2026-08-18,2026-11-26,48,95,88,91,1,2,1,50,WATCH,DEMO_SYNTHETIC
CTR-0034,M012,Demo Contractor M012-1,Coal Transport,2024-09-20,2027-02-09,2027-06-24,2027-07-03,60,100,93,99,0,0,0,16,ACTIVE,DEMO_SYNTHETIC
CTR-0035,M012,Demo Contractor M012-2,Underground Development,2025-08-16,2026-12-22,2026-08-29,2026-10-06,62,93,91,95,1,1,1,30,ACTIVE,DEMO_SYNTHETIC
CTR-0036,M012,Demo Contractor M012-3,Civil Works,2024-11-24,2027-04-26,2027-08-04,2027-10-21,27,96,100,100,0,0,1,13,ACTIVE,DEMO_SYNTHETIC
