equipment_id,mine_id,equipment_name,equipment_type,status,operating_hours_24h,idle_hours_24h,breakdown_hours_24h,fuel_consumption_l_24h,last_service,next_service,maintenance_status,health_score,latitude,longitude,assigned_operator_worker_id,telemetry_enabled,data_source
EQP-00072,M008,Dozer-M008-02,Dozer,AVAILABLE,17.5,3.1,3.4,163.4,2026-05-25,2026-09-16,DUE_SOON,89,21.831443,83.919559,WRK-00343,YES,DEMO_SYNTHETIC
EQP-00073,M008,Dumper-M008-03,Dumper,MAINTENANCE_DUE,18.3,2.8,2.9,43.6,2026-04-16,2026-07-20,OVERDUE,54,21.81917,83.933884,WRK-00319,YES,DEMO_SYNTHETIC
EQP-00074,M008,Drill-M008-04,Drill,AVAILABLE,20.5,3.5,0,81.1,2026-04-16,2026-07-15,OVERDUE,79,21.810429,83.921543,WRK-00333,YES,DEMO_SYNTHETIC
EQP-00075,M008,Dumper-M008-05,Dumper,AVAILABLE,19.3,3.9,0.8,150.4,2026-08-02,2026-10-07,OK,88,21.812495,83.914362,WRK-00327,YES,DEMO_SYNTHETIC
EQP-00076,M008,Dumper-M008-06,Dumper,AVAILABLE,18.2,3.4,2.4,100.0,2026-04-11,2026-07-13,OVERDUE,71,21.81164,83.906868,WRK-00354,YES,DEMO_SYNTHETIC
EQP-00077,M008,Drill-M008-07,Drill,AVAILABLE,19.2,0,4.8,29.2,2026-07-18,2026-09-27,OK,91,21.816069,83.928901,WRK-00349,YES,DEMO_SYNTHETIC
EQP-00078,M008,Surface Miner-M008-08,Surface Miner,AVAILABLE,22.0,0.2,1.8,18.0,2026-04-07,2026-07-03,OVERDUE,69,21.807879,83.924803,WRK-00353,NO,DEMO_SYNTHETIC
EQP-00079,M008,Pump-M008-09,Pump,AVAILABLE,20.3,3.7,0,,2026-05-02,2026-08-27,OVERDUE,96,21.809026,83.930198,WRK-00356,YES,DEMO_SYNTHETIC
EQP-00080,M008,Dozer-M008-10,Dozer,AVAILABLE,16.5,1.5,6.0,158.2,2026-04-25,2026-06-28,OVERDUE,78,21.81952,83.927844,WRK-00329,NO,DEMO_SYNTHETIC
EQP-00081,M009,Dumper-M009-01,Dumper,AVAILABLE,19.8,3.1,1.1,53.3,2026-06-12,2026-09-20,DUE_SOON,84,23.299761,82.348892,WRK-00362,NO,DEMO_SYNTHETIC
EQP-00082,M009,Dozer-M009-02,Dozer,AVAILABLE,20.3,0.2,3.5,49.6,2026-07-12,2026-10-11,OK,79,23.306781,82.363108,WRK-00379,NO,DEMO_SYNTHETIC
EQP-00083,M009,Excavator-M009-03,Excavator,AVAILABLE,15.0,7.3,1.7,160.6,2026-05-19,2026-08-15,OVERDUE,90,23.312521,82.336721,WRK-00367,YES,DEMO_SYNTHETIC
EQP-00084,M009,Excavator-M009-04,Excavator,AVAILABLE,15.9,5.1,3.0,149.2,2026-06-11,2026-08-27,OVERDUE,66,23.302289,82.340036,WRK-00361,YES,DEMO_SYNTHETIC
EQP-00085,M009,Roof Bolter-M009-05,Roof Bolter,AVAILABLE,19.1,2.2,2.7,,2026-05-22,2026-08-07,OVERDUE,100,23.295368,82.357146,WRK-00372,NO,DEMO_SYNTHETIC
EQP-00086,M010,Underground Conveyor-M010-01,Underground Conveyor,AVAILABLE,18.8,1.5,3.7,,2026-08-02,2026-10-26,OK,100,23.685345,85.995371,WRK-00400,YES,DEMO_SYNTHETIC
EQP-00087,M010,Underground Conveyor-M010-02,Underground Conveyor,AVAILABLE,18.4,1.7,3.9,,2026-06-05,2026-09-19,DUE_SOON,100,23.696648,85.991691,WRK-00399,YES,DEMO_SYNTHETIC
EQP-00088,M010,Ventilation Fan-M010-03,Ventilation Fan,AVAILABLE,16.6,4.7,2.7,,2026-08-23,2026-11-21,OK,91,23.688894,85.980488,WRK-00392,YES,DEMO_SYNTHETIC
EQP-00089,M010,Shuttle Car-M010-04,Shuttle Car,AVAILABLE,19.3,4.1,0.6,,2026-04-12,2026-07-25,OVERDUE,95,23.704093,85.988335,WRK-00383,YES,DEMO_SYNTHETIC
EQP-00090,M010,LHD-M010-05,LHD,AVAILABLE,19.1,3.0,1.9,93.6,2026-08-20,2026-11-07,OK,67,23.686697,85.976013,WRK-00396,YES,DEMO_SYNTHETIC
EQP-00091,M011,Dumper-M011-01,Dumper,AVAILABLE,15.8,3.2,5.0,30.3,2026-07-01,2026-10-20,OK,81,23.312594,81.353546,WRK-00437,YES,DEMO_SYNTHETIC
EQP-00092,M011,Conveyor-M011-02,Conveyor,AVAILABLE,16.2,5.3,2.5,,2026-06-24,2026-09-07,DUE_SOON,74,23.310295,81.349513,WRK-00439,YES,DEMO_SYNTHETIC
EQP-00093,M011,Dumper-M011-03,Dumper,AVAILABLE,16.6,3.4,4.0,21.6,2026-06-26,2026-08-30,OVERDUE,72,23.30212,81.348131,WRK-00413,YES,DEMO_SYNTHETIC
EQP-00094,M011,Dozer-M011-04,Dozer,AVAILABLE,17.7,3.9,2.4,109.8,2026-05-12,2026-08-02,OVERDUE,72,23.287766,81.362522,WRK-00433,YES,DEMO_SYNTHETIC
EQP-00095,M011,Excavator-M011-05,Excavator,AVAILABLE,20.0,2.2,1.8,51.3,2026-05-21,2026-07-25,OVERDUE,67,23.311029,81.338945,WRK-00405,NO,DEMO_SYNTHETIC
EQP-00096,M011,Roof Bolter-M011-06,Roof Bolter,MAINTENANCE_DUE,21.3,2.0,0.7,,2026-06-05,2026-08-08,OVERDUE,64,23.309168,81.347419,WRK-00431,YES,DEMO_SYNTHETIC
EQP-00097,M011,Continuous Miner-M011-07,Continuous Miner,MAINTENANCE_DUE,14.8,6.2,3.0,,2026-04-09,2026-07-03,OVERDUE,61,23.28623,81.353458,WRK-00445,YES,DEMO_SYNTHETIC
EQP-00098,M011,Pump-M011-08,Pump,MAINTENANCE_DUE,12.4,4.4,7.2,,2026-04-15,2026-07-18,OVERDUE,49,23.290149,81.338702,WRK-00437,NO,DEMO_SYNTHETIC
EQP-00099,M011,Continuous Miner-M011-09,Continuous Miner,AVAILABLE,17.6,3.6,2.8,,2026-05-05,2026-07-07,OVERDUE,70,23.293859,81.355968,WRK-00436,YES,DEMO_SYNTHETIC
EQP-00100,M011,Continuous Miner-M011-10,Continuous Miner,AVAILABLE,13.4,3.5,7.1,,2026-08-10,2026-12-07,OK,71,23.297907,81.362541,WRK-00442,YES,DEMO_SYNTHETIC
EQP-00101,M012,Shovel-M012-01,Shovel,AVAILABLE,18.8,4.6,0.6,29.5,2026-07-20,2026-11-14,OK,100,23.337046,86.366602,WRK-00464,YES,DEMO_SYNTHETIC
EQP-00102,M012,Pump-M012-02,Pump,MAINTENANCE_DUE,20.9,0.9,2.2,,2026-04-06,2026-07-30,OVERDUE,57,23.321868,86.347976,WRK-00462,NO,DEMO_SYNTHETIC
EQP-00103,M012,Surface Miner-M012-03,Surface Miner,AVAILABLE,15.4,6.0,2.6,39.1,2026-06-19,2026-09-19,DUE_SOON,91,23.338607,86.36017,WRK-00464,NO,DEMO_SYNTHETIC
EQP-00104,M012,Dozer-M012-04,Dozer,AVAILABLE,16.9,3.7,3.4,148.8,2026-05-23,2026-08-21,OVERDUE,87,23.324621,86.356299,WRK-00452,YES,DEMO_SYNTHETIC
EQP-00105,M012,Dumper-M012-05,Dumper,AVAILABLE,22.3,1.7,0,16.8,2026-06-14,2026-09-02,DUE_SOON,77,23.331051,86.373448,WRK-00452,NO,DEMO_SYNTHETIC
