inspection_id,mine_id,inspection_type,inspector_role,department,inspection_date,inspection_time,latitude,longitude,zone,checklist_score_pct,observation_summary,photo_count,video_count,severity,inspection_status,geo_tagged,time_stamped,data_source
INSP-00013,M001,Statutory Checklist,Safety Officer,Safety,2026-07-11,11:30:00,22.359393,82.696847,West Dump,97,Statutory Checklist completed; no major deviation observed,3,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00014,M001,Statutory Checklist,Safety Officer,Electrical,2026-08-03,19:15:00,22.354076,82.690376,Workshop,70,Required record/evidence missing,5,1,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00015,M001,Blasting Area Inspection,Electrical Engineer,Mechanical,2026-06-05,17:45:00,22.338302,82.698744,Water Station,100,Blasting Area Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00016,M001,Blasting Area Inspection,Mechanical Engineer,Mechanical,2026-06-28,13:15:00,22.359429,82.67819,East Pit,94,Blasting Area Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00017,M001,Haul Road Inspection,Safety Officer,Environment,2026-07-15,09:45:00,22.343508,82.698898,West Dump,100,Haul Road Inspection completed; no major deviation observed,4,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00018,M001,Haul Road Inspection,Electrical Engineer,Mechanical,2026-07-07,14:30:00,22.361366,82.682499,Water Station,74,Safety berm damaged / road edge deterioration,4,0,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00019,M002,Underground Electrical Inspection,Environment Officer,Electrical,2026-06-26,12:00:00,23.762071,86.414306,Water Station,90,Underground Electrical Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00020,M002,Underground Electrical Inspection,Electrical Engineer,Safety,2026-07-27,19:45:00,23.747997,86.423095,East Pit,68,Cable/protection deficiency observed,1,1,LOW,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00021,M002,Contractor Inspection,Environment Officer,Mechanical,2026-08-19,09:45:00,23.754096,86.419753,Panel-1,54,PPE/training documentation gap observed,1,1,CRITICAL,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00022,M002,Mechanical Inspection,Mine Foreman,Electrical,2026-06-12,14:45:00,23.749815,86.412933,Panel-1,94,Mechanical Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00023,M002,Roof/Strata Inspection,Mine Foreman,Operations,2026-07-16,14:00:00,23.764487,86.431079,Main Incline,85,Roof/Strata Inspection completed; no major deviation observed,2,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00024,M002,Ventilation Inspection,Environment Officer,Operations,2026-07-16,06:45:00,23.757031,86.412431,Main Incline,94,Ventilation Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00025,M002,Roof/Strata Inspection,Electrical Engineer,Environment,2026-06-28,13:45:00,23.745306,86.433151,Main Incline,99,Roof/Strata Inspection completed; no major deviation observed,5,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00026,M002,Underground Electrical Inspection,Electrical Engineer,Environment,2026-06-18,17:00:00,23.743553,86.428117,Haul Road H3,99,Underground Electrical Inspection completed; no major deviation observed,3,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00027,M002,Electrical Inspection,Environment Officer,Environment,2026-08-03,09:15:00,23.756919,86.414027,Panel-2,64,Electrical housekeeping / guarding issue observed,3,0,HIGH,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00028,M002,Mechanical Inspection,Environment Officer,Environment,2026-08-27,18:15:00,23.744424,86.410177,East Pit,96,Mechanical Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00029,M002,Safety Inspection,Mine Foreman,Environment,2026-08-12,10:45:00,23.763633,86.432308,West Dump,48,Unsafe condition identified,4,0,LOW,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00030,M002,Electrical Inspection,Mine Foreman,Environment,2026-07-01,18:15:00,23.766646,86.421485,Panel-2,58,Electrical housekeeping / guarding issue observed,5,1,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00031,M002,Gas Monitoring Inspection,Safety Officer,Safety,2026-08-23,16:15:00,23.764947,86.435185,Workshop,92,Gas Monitoring Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00032,M002,Gas Monitoring Inspection,Electrical Engineer,Electrical,2026-06-14,07:45:00,23.74632,86.408442,West Dump,96,Gas Monitoring Inspection completed; no major deviation observed,2,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00033,M002,Ventilation Inspection,Mechanical Engineer,Safety,2026-07-07,09:15:00,23.764315,86.412264,Main Incline,98,Ventilation Inspection completed; no major deviation observed,3,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00034,M002,Safety Inspection,Safety Officer,Environment,2026-06-28,18:15:00,23.74378,86.42568,East Pit,55,Unsafe condition identified,1,0,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00035,M002,Electrical Inspection,Mine Foreman,Electrical,2026-08-18,12:15:00,23.756624,86.434505,West Dump,45,Electrical housekeeping / guarding issue observed,2,1,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00036,M002,Ventilation Inspection,Mine Foreman,Environment,2026-07-04,20:30:00,23.762895,86.431228,East Pit,100,Ventilation Inspection completed; no major deviation observed,2,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00037,M003,Statutory Checklist,Environment Officer,Environment,2026-07-25,15:15:00,20.95281,85.18211,Water Station,89,Statutory Checklist completed; no major deviation observed,3,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00038,M003,Blasting Area Inspection,Mine Foreman,Operations,2026-07-23,06:30:00,20.944543,85.156836,Haul Road H3,100,Blasting Area Inspection completed; no major deviation observed,4,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00039,M003,OB Dump Inspection,Mechanical Engineer,Mechanical,2026-07-01,18:30:00,20.944727,85.184571,West Dump,84,OB Dump Inspection completed; no major deviation observed,2,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00040,M003,Haul Road Inspection,Safety Officer,Environment,2026-07-03,07:00:00,20.959871,85.170864,Workshop,99,Haul Road Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00041,M003,Safety Inspection,Safety Officer,Environment,2026-08-23,12:00:00,20.962977,85.162104,Coal Face,85,Safety Inspection completed; no major deviation observed,2,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00042,M003,Contractor Inspection,Environment Officer,Mechanical,2026-08-19,19:15:00,20.942076,85.16566,Panel-2,74,PPE/training documentation gap observed,1,1,HIGH,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00043,M003,OB Dump Inspection,Mine Foreman,Safety,2026-08-26,13:15:00,20.943961,85.160378,Panel-1,78,Drainage erosion / dump edge issue,3,0,HIGH,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00044,M003,Slope Inspection,Mine Foreman,Electrical,2026-06-05,14:30:00,20.949944,85.155253,Water Station,92,Slope Inspection completed; no major deviation observed,4,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00045,M003,Contractor Inspection,Mechanical Engineer,Safety,2026-06-29,14:45:00,20.951662,85.158148,Main Incline,83,Contractor Inspection completed; no major deviation observed,2,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00046,M003,Environment Inspection,Environment Officer,Safety,2026-07-10,06:30:00,20.940296,85.171069,Workshop,93,Environment Inspection completed; no major deviation observed,5,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00047,M003,Blasting Area Inspection,Safety Officer,Operations,2026-06-25,18:45:00,20.954719,85.158645,East Pit,98,Blasting Area Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00048,M003,Environment Inspection,Mechanical Engineer,Electrical,2026-07-07,14:45:00,20.944817,85.166684,Workshop,92,Environment Inspection completed; no major deviation observed,4,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00049,M003,Slope Inspection,Environment Officer,Mechanical,2026-07-03,08:45:00,20.95177,85.171544,Main Incline,89,Slope Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00050,M003,Blasting Area Inspection,Environment Officer,Operations,2026-08-21,15:30:00,20.946616,85.165622,Coal Face,51,Blast exclusion/signage deficiency,2,1,LOW,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00051,M003,Haul Road Inspection,Environment Officer,Electrical,2026-07-13,16:45:00,20.953313,85.181534,Coal Face,58,Safety berm damaged / road edge deterioration,2,1,CRITICAL,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00052,M003,Blasting Area Inspection,Environment Officer,Safety,2026-08-13,18:30:00,20.944368,85.159623,East Pit,98,Blasting Area Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00053,M003,Blasting Area Inspection,Mechanical Engineer,Electrical,2026-08-28,09:45:00,20.953125,85.167596,Panel-2,91,Blasting Area Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00054,M003,Statutory Checklist,Mechanical Engineer,Safety,2026-06-27,08:30:00,20.963909,85.16447,Water Station,73,Required record/evidence missing,1,1,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00055,M004,Environment Inspection,Safety Officer,Safety,2026-06-29,16:15:00,18.743663,79.52325,Main Incline,86,Environment Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00056,M004,Mechanical Inspection,Safety Officer,Operations,2026-06-22,12:45:00,18.72027,79.510081,Workshop,84,Mechanical Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00057,M004,Roof/Strata Inspection,Mine Foreman,Environment,2026-07-15,19:45:00,18.716219,79.506877,Panel-2,95,Roof/Strata Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00058,M004,Ventilation Inspection,Electrical Engineer,Safety,2026-08-07,19:15:00,18.727712,79.524976,Haul Road H3,99,Ventilation Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00059,M004,Environment Inspection,Safety Officer,Operations,2026-07-17,09:45:00,18.717438,79.505523,Haul Road H3,95,Environment Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00060,M004,Ventilation Inspection,Mine Foreman,Environment,2026-08-28,06:45:00,18.744077,79.511666,Haul Road H3,83,Ventilation Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00061,M004,Ventilation Inspection,Environment Officer,Operations,2026-07-04,13:45:00,18.744132,79.513622,Haul Road H3,72,Reduced airflow / ventilation obstruction observed,1,1,LOW,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00062,M004,Roof/Strata Inspection,Mechanical Engineer,Safety,2026-07-17,06:45:00,18.715035,79.50962,Panel-2,97,Roof/Strata Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00063,M004,Underground Electrical Inspection,Mechanical Engineer,Mechanical,2026-06-30,16:30:00,18.736237,79.519825,West Dump,93,Underground Electrical Inspection completed; no major deviation observed,2,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00064,M004,Environment Inspection,Safety Officer,Electrical,2026-06-06,19:15:00,18.721919,79.525383,East Pit,75,Dust suppression / water monitoring gap observed,3,1,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00065,M004,Ventilation Inspection,Mechanical Engineer,Operations,2026-08-08,10:15:00,18.732486,79.516487,East Pit,99,Ventilation Inspection completed; no major deviation observed,5,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00066,M004,Environment Inspection,Mine Foreman,Safety,2026-07-09,08:00:00,18.720483,79.511844,Panel-2,82,Environment Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00067,M004,Gas Monitoring Inspection,Electrical Engineer,Electrical,2026-06-13,06:30:00,18.741927,79.527938,Workshop,64,Abnormal gas trend requiring verification,1,0,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00068,M004,Electrical Inspection,Safety Officer,Mechanical,2026-07-13,08:45:00,18.721446,79.524949,Water Station,100,Electrical Inspection completed; no major deviation observed,3,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00069,M004,Safety Inspection,Environment Officer,Mechanical,2026-07-02,09:45:00,18.723821,79.524135,Coal Face,50,Unsafe condition identified,2,0,LOW,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00070,M004,Safety Inspection,Mechanical Engineer,Safety,2026-06-22,12:30:00,18.740633,79.515439,Workshop,89,Safety Inspection completed; no major deviation observed,4,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00071,M004,Environment Inspection,Electrical Engineer,Mechanical,2026-08-10,13:45:00,18.739132,79.520938,Water Station,88,Environment Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00072,M004,Roof/Strata Inspection,Electrical Engineer,Mechanical,2026-08-20,10:45:00,18.73942,79.530895,Water Station,88,Roof/Strata Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00073,M005,Contractor Inspection,Electrical Engineer,Environment,2026-06-29,07:30:00,24.178147,82.677787,Panel-1,99,Contractor Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00074,M005,Contractor Inspection,Mechanical Engineer,Electrical,2026-08-26,11:00:00,24.172354,82.690382,Panel-2,48,PPE/training documentation gap observed,2,1,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00075,M005,Haul Road Inspection,Safety Officer,Operations,2026-08-20,13:15:00,24.17425,82.672679,Main Incline,90,Haul Road Inspection completed; no major deviation observed,2,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00076,M005,Safety Inspection,Environment Officer,Environment,2026-08-22,07:45:00,24.17328,82.679243,Coal Face,93,Safety Inspection completed; no major deviation observed,3,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00077,M005,Haul Road Inspection,Electrical Engineer,Environment,2026-07-18,17:00:00,24.158887,82.684621,Main Incline,95,Haul Road Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00078,M005,Statutory Checklist,Safety Officer,Environment,2026-07-05,09:15:00,24.166754,82.688985,Water Station,51,Required record/evidence missing,1,1,LOW,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00079,M005,Safety Inspection,Safety Officer,Environment,2026-07-02,11:00:00,24.16703,82.66622,Water Station,89,Safety Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00080,M005,Slope Inspection,Environment Officer,Safety,2026-07-07,12:45:00,24.16992,82.669992,Panel-2,85,Slope Inspection completed; no major deviation observed,2,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00081,M005,Safety Inspection,Mechanical Engineer,Operations,2026-08-17,13:00:00,24.16057,82.693411,West Dump,97,Safety Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00082,M005,Haul Road Inspection,Safety Officer,Operations,2026-08-27,12:30:00,24.165056,82.691641,Workshop,90,Haul Road Inspection completed; no major deviation observed,3,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00083,M005,Safety Inspection,Environment Officer,Environment,2026-08-29,14:30:00,24.184849,82.67818,Main Incline,92,Safety Inspection completed; no major deviation observed,5,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00084,M005,Haul Road Inspection,Environment Officer,Environment,2026-07-01,20:45:00,24.171673,82.671007,Main Incline,82,Haul Road Inspection completed; no major deviation observed,4,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00085,M005,Safety Inspection,Environment Officer,Safety,2026-07-01,14:00:00,24.170034,82.673242,Haul Road H3,86,Safety Inspection completed; no major deviation observed,3,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00086,M005,OB Dump Inspection,Environment Officer,Operations,2026-07-13,15:15:00,24.173715,82.666174,West Dump,83,OB Dump Inspection completed; no major deviation observed,4,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00087,M005,Slope Inspection,Electrical Engineer,Electrical,2026-08-03,18:15:00,24.175629,82.687371,Panel-2,88,Slope Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00088,M005,Haul Road Inspection,Environment Officer,Operations,2026-06-23,12:45:00,24.182836,82.694556,Workshop,95,Haul Road Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00089,M005,Contractor Inspection,Mechanical Engineer,Environment,2026-06-30,07:15:00,24.158124,82.676096,Coal Face,92,Contractor Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00090,M005,Haul Road Inspection,Safety Officer,Safety,2026-07-28,17:30:00,24.164938,82.680473,East Pit,91,Haul Road Inspection completed; no major deviation observed,3,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00091,M006,Mechanical Inspection,Safety Officer,Environment,2026-06-30,09:00:00,20.013861,79.305351,Panel-1,75,Maintenance / guarding issue observed,5,1,HIGH,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00092,M006,OB Dump Inspection,Environment Officer,Safety,2026-07-01,09:00:00,20.015471,79.296642,Haul Road H3,100,OB Dump Inspection completed; no major deviation observed,3,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00093,M006,Mechanical Inspection,Environment Officer,Safety,2026-07-08,17:15:00,20.011152,79.285216,West Dump,91,Mechanical Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00094,M006,Contractor Inspection,Environment Officer,Environment,2026-06-11,06:45:00,20.017943,79.312052,West Dump,60,PPE/training documentation gap observed,5,1,HIGH,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00095,M006,Blasting Area Inspection,Mine Foreman,Operations,2026-08-08,10:00:00,20.020503,79.289082,Panel-2,68,Blast exclusion/signage deficiency,5,1,CRITICAL,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00096,M006,OB Dump Inspection,Environment Officer,Electrical,2026-09-02,20:45:00,19.997778,79.296458,Panel-2,91,OB Dump Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00097,M006,Haul Road Inspection,Safety Officer,Operations,2026-06-29,16:45:00,19.995137,79.303003,West Dump,94,Haul Road Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00098,M006,Roof/Strata Inspection,Mechanical Engineer,Safety,2026-07-21,15:00:00,20.010423,79.307148,Coal Face,89,Roof/Strata Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00099,M006,Safety Inspection,Mine Foreman,Operations,2026-07-05,09:15:00,19.996419,79.304545,Haul Road H3,82,Safety Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00100,M006,Haul Road Inspection,Environment Officer,Electrical,2026-07-20,11:45:00,20.008833,79.28517,Panel-2,87,Haul Road Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00101,M006,OB Dump Inspection,Environment Officer,Environment,2026-07-07,14:15:00,19.997591,79.2905,Haul Road H3,86,OB Dump Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00102,M006,Safety Inspection,Electrical Engineer,Environment,2026-08-27,10:00:00,20.021013,79.311616,West Dump,97,Safety Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00103,M006,Slope Inspection,Mechanical Engineer,Electrical,2026-06-19,07:00:00,20.01992,79.292837,Water Station,94,Slope Inspection completed; no major deviation observed,2,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00104,M006,Statutory Checklist,Environment Officer,Safety,2026-07-29,19:30:00,20.00266,79.298684,East Pit,94,Statutory Checklist completed; no major deviation observed,2,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00105,M006,Contractor Inspection,Mine Foreman,Electrical,2026-06-22,11:15:00,20.016981,79.294206,East Pit,65,PPE/training documentation gap observed,3,0,HIGH,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00106,M006,Electrical Inspection,Mine Foreman,Environment,2026-08-06,09:00:00,20.01009,79.301132,Water Station,88,Electrical Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00107,M006,OB Dump Inspection,Mechanical Engineer,Mechanical,2026-06-19,07:00:00,20.02063,79.299969,West Dump,46,Drainage erosion / dump edge issue,2,0,HIGH,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00108,M006,Electrical Inspection,Electrical Engineer,Environment,2026-06-05,14:30:00,20.010741,79.296514,Coal Face,89,Electrical Inspection completed; no major deviation observed,5,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00109,M007,Underground Electrical Inspection,Mine Foreman,Mechanical,2026-07-12,11:45:00,23.632016,87.106214,Coal Face,78,Cable/protection deficiency observed,4,0,HIGH,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00110,M007,Electrical Inspection,Environment Officer,Mechanical,2026-06-15,14:15:00,23.615009,87.133098,West Dump,99,Electrical Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00111,M007,Safety Inspection,Environment Officer,Safety,2026-08-28,06:30:00,23.617493,87.123312,Haul Road H3,100,Safety Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00112,M007,Underground Electrical Inspection,Mechanical Engineer,Safety,2026-08-08,11:15:00,23.625468,87.108577,Panel-1,87,Underground Electrical Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00113,M007,Gas Monitoring Inspection,Mine Foreman,Electrical,2026-06-04,20:45:00,23.61425,87.122966,Water Station,91,Gas Monitoring Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00114,M007,Gas Monitoring Inspection,Safety Officer,Operations,2026-08-02,08:45:00,23.608466,87.123602,Haul Road H3,92,Gas Monitoring Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00115,M007,Ventilation Inspection,Electrical Engineer,Mechanical,2026-07-13,08:15:00,23.624903,87.129754,Main Incline,82,Ventilation Inspection completed; no major deviation observed,5,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00116,M007,Underground Electrical Inspection,Safety Officer,Mechanical,2026-07-31,17:00:00,23.607884,87.118212,East Pit,95,Underground Electrical Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00117,M007,Gas Monitoring Inspection,Mechanical Engineer,Safety,2026-08-13,16:00:00,23.632221,87.112453,East Pit,56,Abnormal gas trend requiring verification,1,1,CRITICAL,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
