reading_id,mine_id,station_id,parameter,value,unit,configured_min,configured_max,latitude,longitude,timestamp,source,compliance_status,exceedance_pct,threshold_source,data_note
ENV-0000081,M001,ENV-ST-M001-03,COD,187.79,mg/L,,250,22.357156,82.693781,2026-08-15T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000082,M001,ENV-ST-M001-03,BOD,19.99,mg/L,,30,22.348756,82.680206,2026-08-15T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000083,M001,ENV-ST-M001-02,Oil_Grease,3.97,mg/L,,10,22.353317,82.68773,2026-08-15T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000084,M001,ENV-ST-M001-03,Noise,84.37,dB(A),,85,22.349418,82.698236,2026-08-15T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000085,M001,ENV-ST-M001-03,PM2.5,49.5,ug/m3,,60,22.349608,82.699241,2026-08-12T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000086,M001,ENV-ST-M001-02,PM10,96.87,ug/m3,,100,22.342878,82.689734,2026-08-12T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000087,M001,ENV-ST-M001-01,SO2,46.39,ug/m3,,80,22.356701,82.693299,2026-08-12T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000088,M001,ENV-ST-M001-01,NO2,62.28,ug/m3,,80,22.347148,82.687469,2026-08-12T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000089,M001,ENV-ST-M001-02,CO,1.81,mg/m3,,4,22.352888,82.694807,2026-08-12T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000090,M001,ENV-ST-M001-02,pH,7.93,pH,6.5,8.5,22.355608,82.684786,2026-08-12T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000091,M001,ENV-ST-M001-02,TSS,85.41,mg/L,,100,22.357052,82.682376,2026-08-12T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000092,M001,ENV-ST-M001-01,TDS,1077.86,mg/L,,2100,22.343163,82.697416,2026-08-12T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000093,M001,ENV-ST-M001-01,COD,149.25,mg/L,,250,22.346602,82.690422,2026-08-12T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000094,M001,ENV-ST-M001-01,BOD,21.74,mg/L,,30,22.360091,82.687978,2026-08-12T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000095,M001,ENV-ST-M001-01,Oil_Grease,2.39,mg/L,,10,22.361625,82.68682,2026-08-12T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000096,M001,ENV-ST-M001-03,Noise,85.69,dB(A),,85,22.351143,82.699495,2026-08-12T06:00:00,DEMO_MONITORING_FEED,EXCEEDED,0.8,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000097,M001,ENV-ST-M001-02,PM2.5,54.9,ug/m3,,60,22.348883,82.689501,2026-08-09T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000098,M001,ENV-ST-M001-01,PM10,84.55,ug/m3,,100,22.360559,82.685127,2026-08-09T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000099,M001,ENV-ST-M001-01,SO2,39.78,ug/m3,,80,22.343031,82.68048,2026-08-09T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000100,M001,ENV-ST-M001-02,NO2,24.67,ug/m3,,80,22.350577,82.699885,2026-08-09T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000101,M001,ENV-ST-M001-02,CO,1.63,mg/m3,,4,22.355937,82.685115,2026-08-09T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000102,M001,ENV-ST-M001-02,pH,6.92,pH,6.5,8.5,22.3598,82.689445,2026-08-09T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000103,M001,ENV-ST-M001-01,TSS,109.11,mg/L,,100,22.342975,82.684288,2026-08-09T06:00:00,DEMO_MONITORING_FEED,EXCEEDED,9.1,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000104,M001,ENV-ST-M001-01,TDS,868.93,mg/L,,2100,22.346083,82.685753,2026-08-09T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000105,M001,ENV-ST-M001-02,COD,141.08,mg/L,,250,22.361925,82.692979,2026-08-09T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000106,M001,ENV-ST-M001-01,BOD,33.3,mg/L,,30,22.343657,82.694138,2026-08-09T06:00:00,DEMO_MONITORING_FEED,EXCEEDED,11.0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000107,M001,ENV-ST-M001-02,Oil_Grease,3.47,mg/L,,10,22.356358,82.691444,2026-08-09T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000108,M001,ENV-ST-M001-01,Noise,84.21,dB(A),,85,22.343629,82.692579,2026-08-09T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
