incident_id,mine_id,incident_type,accident_classification,date,time,shift,zone,latitude,longitude,people_affected,equipment_involved,contractor_id,root_cause,severity,description,investigation_status,corrective_action_status,data_source
INC-00096,M004,UNSAFE_CONDITION,Unsafe Condition,2026-02-19,19:30:00,C,Panel-1,18.729429,79.516257,0,Continuous Miner,,Electrical fault,MEDIUM,Synthetic unsafe condition record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00097,M005,NEAR_MISS,Near Miss,2025-10-25,12:45:00,A,West Dump,24.174344,82.687572,0,Pump,CTR-0015,Poor housekeeping,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00098,M005,UNSAFE_ACT,Unsafe Act,2026-04-05,10:15:00,C,Panel-1,24.174798,82.684938,0,Excavator,CTR-0013,Vehicle interaction,MEDIUM,Synthetic unsafe act record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00099,M005,UNSAFE_ACT,Unsafe Act,2026-08-19,03:15:00,C,West Dump,24.174657,82.677746,0,Excavator,,Poor housekeeping,MEDIUM,Synthetic unsafe act record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00100,M005,UNSAFE_CONDITION,Unsafe Condition,2025-11-17,13:00:00,C,Workshop,24.184721,82.677356,0,Shuttle Car,CTR-0015,Machine guarding,MEDIUM,Synthetic unsafe condition record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00101,M005,NEAR_MISS,Near Miss,2026-06-15,18:00:00,B,West Dump,24.160654,82.674386,0,Conveyor,CTR-0014,Blasting control,HIGH,Synthetic near miss record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00102,M005,NEAR_MISS,Near Miss,2026-02-15,08:30:00,C,Pit,24.156706,82.692792,0,Dumper,CTR-0013,Haul-road condition,HIGH,Synthetic near miss record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
INC-00103,M005,NEAR_MISS,Near Miss,2025-10-23,12:00:00,C,Coal Face,24.181083,82.676265,0,None,,Blasting control,HIGH,Synthetic near miss record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00104,M005,NEAR_MISS,Near Miss,2025-11-17,21:45:00,B,Main Incline,24.162965,82.693056,0,Conveyor,,Haul-road condition,HIGH,Synthetic near miss record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
INC-00105,M005,MINOR_ACCIDENT,Minor Accident,2026-06-03,10:00:00,A,Pit,24.180095,82.676389,1,Pump,,Slope/rock fall,MEDIUM,Synthetic minor accident record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00106,M005,UNSAFE_ACT,Unsafe Act,2026-03-12,11:00:00,C,Pit,24.172299,82.670509,0,Shuttle Car,CTR-0015,Vehicle interaction,MEDIUM,Synthetic unsafe act record for analytics,UNDER_INVESTIGATION,CLOSED,DEMO_SYNTHETIC
INC-00107,M005,SERIOUS_ACCIDENT,Serious Accident,2026-07-10,17:15:00,B,Panel-2,24.179651,82.683287,1,Pump,CTR-0015,Vehicle interaction,CRITICAL,Synthetic serious accident record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
