production_id,mine_id,date,production_target_t,actual_production_t,coal_dispatch_t,opening_stock_t,closing_stock_t,overburden_removed_or_development_qty,production_loss_t,downtime_hours,loss_reason,achievement_percentage,data_source
PROD-000039,M001,2026-07-13,49315.1,50461.0,42591.9,13913.0,21782.1,75873.9,0,2.0,,102.32,DEMO_SYNTHETIC
PROD-000040,M001,2026-07-14,49315.1,43376.6,37985.7,25506.8,30897.7,155315.1,5938.5,2.2,,87.96,DEMO_SYNTHETIC
PROD-000041,M001,2026-07-15,49315.1,36127.5,31208.4,30477.4,35396.5,61414.4,13187.6,2.5,Heavy Rainfall,73.26,DEMO_SYNTHETIC
PROD-000042,M001,2026-07-16,49315.1,52966.0,46845.9,18616.2,24736.3,74205.9,0,2.1,,107.4,DEMO_SYNTHETIC
PROD-000043,M001,2026-07-17,49315.1,44801.6,37418.1,29925.2,37308.7,97691.7,4513.5,0,,90.85,DEMO_SYNTHETIC
PROD-000044,M001,2026-07-18,49315.1,39902.4,33129.9,27359.5,34132.0,140023.9,9412.7,3.7,,80.91,DEMO_SYNTHETIC
PROD-000045,M001,2026-07-19,49315.1,45179.4,44023.7,35622.7,36778.4,92758.6,4135.7,3.1,,91.61,DEMO_SYNTHETIC
PROD-000046,M001,2026-07-20,49315.1,46375.1,40120.4,19455.0,25709.7,130651.2,2940.0,3.0,,94.04,DEMO_SYNTHETIC
PROD-000047,M001,2026-07-21,49315.1,46501.8,38719.5,27010.4,34792.7,131970.6,2813.3,1.1,,94.3,DEMO_SYNTHETIC
PROD-000048,M001,2026-07-22,49315.1,56310.2,54896.9,22722.5,24135.8,77513.1,0,2.8,,114.18,DEMO_SYNTHETIC
PROD-000049,M001,2026-07-23,49315.1,45529.5,42304.1,16728.1,19953.5,119540.5,3785.6,3.6,,92.32,DEMO_SYNTHETIC
PROD-000050,M001,2026-07-24,49315.1,50504.2,43062.5,19780.3,27222.0,165206.7,0,3.6,,102.41,DEMO_SYNTHETIC
PROD-000051,M001,2026-07-25,49315.1,44581.1,37855.6,15652.3,22377.8,64484.6,4734.0,4.4,,90.4,DEMO_SYNTHETIC
PROD-000052,M001,2026-07-26,49315.1,42604.6,36766.7,8819.7,14657.6,64428.1,6710.5,5.0,,86.39,DEMO_SYNTHETIC
PROD-000053,M001,2026-07-27,49315.1,44968.0,42721.6,10054.2,12300.6,118141.2,4347.1,4.1,,91.19,DEMO_SYNTHETIC
PROD-000054,M001,2026-07-28,49315.1,43923.6,37753.4,27941.9,34112.1,121585.1,5391.5,2.7,,89.07,DEMO_SYNTHETIC
PROD-000055,M001,2026-07-29,49315.1,39231.4,32646.7,24552.6,31137.3,67811.2,10083.7,0,Manpower Constraint,79.55,DEMO_SYNTHETIC
PROD-000056,M001,2026-07-30,49315.1,40690.1,37084.6,18648.8,22254.3,91738.2,8625.0,3.3,,82.51,DEMO_SYNTHETIC
PROD-000057,M001,2026-07-31,49315.1,41907.1,36234.2,22742.3,28415.2,133321.7,7408.0,4.5,,84.98,DEMO_SYNTHETIC
PROD-000058,M001,2026-08-01,49315.1,41710.8,40311.0,14134.1,15533.9,111805.2,7604.3,1.4,,84.58,DEMO_SYNTHETIC
PROD-000059,M001,2026-08-02,49315.1,43935.9,36568.3,39977.2,47344.8,151511.2,5379.2,4.0,,89.09,DEMO_SYNTHETIC
PROD-000060,M001,2026-08-03,49315.1,51694.3,43936.4,34825.9,42583.8,102483.5,0,5.5,,104.82,DEMO_SYNTHETIC
PROD-000061,M001,2026-08-04,49315.1,44731.0,37358.8,8635.8,16008.0,146144.8,4584.1,2.2,,90.7,DEMO_SYNTHETIC
PROD-000062,M001,2026-08-05,49315.1,58168.5,52074.3,39373.0,45467.2,77703.0,0,4.0,,117.95,DEMO_SYNTHETIC
PROD-000063,M001,2026-08-06,49315.1,42699.5,36467.8,39869.0,46100.7,51377.3,6615.6,1.3,,86.59,DEMO_SYNTHETIC
PROD-000064,M001,2026-08-07,49315.1,49037.4,41655.0,42074.5,49456.9,126484.1,277.7,2.5,,99.44,DEMO_SYNTHETIC
PROD-000065,M001,2026-08-08,49315.1,51656.6,43549.6,43403.6,51510.6,71119.8,0,1.9,,104.75,DEMO_SYNTHETIC
PROD-000066,M001,2026-08-09,49315.1,50162.6,47835.0,27302.6,29630.2,149576.5,0,2.0,,101.72,DEMO_SYNTHETIC
PROD-000067,M001,2026-08-10,49315.1,47617.7,42643.3,8874.8,13849.2,70104.1,1697.4,4.9,,96.56,DEMO_SYNTHETIC
PROD-000068,M001,2026-08-11,49315.1,37382.4,35079.4,28754.6,31057.6,88447.3,11932.7,4.7,Heavy Rainfall,75.8,DEMO_SYNTHETIC
PROD-000069,M001,2026-08-12,49315.1,48435.3,41847.8,9752.0,16339.5,90150.8,879.8,1.6,,98.22,DEMO_SYNTHETIC
PROD-000070,M001,2026-08-13,49315.1,43667.1,40058.2,18819.1,22428.0,149124.1,5648.0,2.7,,88.55,DEMO_SYNTHETIC
PROD-000071,M001,2026-08-14,49315.1,54696.6,52515.4,20615.7,22796.9,146091.4,0,2.7,,110.91,DEMO_SYNTHETIC
PROD-000072,M001,2026-08-15,49315.1,41513.1,36543.7,17910.5,22879.9,112350.6,7802.0,2.4,,84.18,DEMO_SYNTHETIC
PROD-000073,M001,2026-08-16,49315.1,47491.5,42003.8,25668.0,31155.7,133591.9,1823.6,3.1,,96.3,DEMO_SYNTHETIC
PROD-000074,M001,2026-08-17,49315.1,39476.9,33909.0,21377.1,26945.0,135486.0,9838.2,0.4,,80.05,DEMO_SYNTHETIC
PROD-000075,M001,2026-08-18,49315.1,46430.4,38463.6,14871.6,22838.4,82870.5,2884.7,3.0,,94.15,DEMO_SYNTHETIC
PROD-000076,M001,2026-08-19,49315.1,42362.6,39248.8,32029.3,35143.1,148249.5,6952.5,2.3,,85.9,DEMO_SYNTHETIC
PROD-000077,M001,2026-08-20,49315.1,43471.2,36798.1,20870.4,27543.5,86870.3,5843.9,4.6,,88.15,DEMO_SYNTHETIC
PROD-000078,M001,2026-08-21,49315.1,41192.9,38518.2,11273.5,13948.2,78977.7,8122.2,1.7,,83.53,DEMO_SYNTHETIC
PROD-000079,M001,2026-08-22,49315.1,50383.4,42487.4,30905.6,38801.6,121931.6,0,0.9,,102.17,DEMO_SYNTHETIC
PROD-000080,M001,2026-08-23,49315.1,51355.6,44546.6,35748.9,42557.9,150133.3,0,3.5,,104.14,DEMO_SYNTHETIC
PROD-000081,M001,2026-08-24,49315.1,49115.4,47065.7,41546.3,43596.0,151275.3,199.7,2.8,,99.6,DEMO_SYNTHETIC
PROD-000082,M001,2026-08-25,49315.1,47829.3,43724.0,22538.2,26643.5,145418.5,1485.8,4.3,,96.99,DEMO_SYNTHETIC
PROD-000083,M001,2026-08-26,49315.1,44269.9,43232.5,35631.8,36669.2,161812.5,5045.2,3.7,,89.77,DEMO_SYNTHETIC
PROD-000084,M001,2026-08-27,49315.1,45226.3,44306.6,11589.8,12509.5,143461.0,4088.8,2.0,,91.71,DEMO_SYNTHETIC
PROD-000085,M001,2026-08-28,49315.1,48603.0,43355.8,8822.6,14069.8,171037.3,712.1,0.6,,98.56,DEMO_SYNTHETIC
PROD-000086,M001,2026-08-29,49315.1,44011.6,37853.5,12653.7,18811.8,95878.0,5303.5,2.7,,89.25,DEMO_SYNTHETIC
PROD-000087,M001,2026-08-30,49315.1,47121.8,41707.9,27589.7,33003.6,142320.8,2193.3,0,,95.55,DEMO_SYNTHETIC
PROD-000088,M001,2026-08-31,49315.1,55255.7,49581.6,14898.4,20572.5,88626.3,0,3.9,,112.05,DEMO_SYNTHETIC
PROD-000089,M001,2026-09-01,49315.1,50562.5,42955.9,34744.5,42351.1,117221.0,0,4.1,,102.53,DEMO_SYNTHETIC
PROD-000090,M001,2026-09-02,49315.1,38011.5,35678.6,30807.5,33140.4,65682.4,11303.6,0,Equipment Breakdown,77.08,DEMO_SYNTHETIC
PROD-000091,M002,2026-06-05,6575.3,6085.6,5606.7,24370.5,24849.4,916.7,489.7,1.3,,92.55,DEMO_SYNTHETIC
PROD-000092,M002,2026-06-06,6575.3,7014.3,5961.9,31816.5,32868.9,654.1,0,0.6,,106.68,DEMO_SYNTHETIC
PROD-000093,M002,2026-06-07,6575.3,5705.6,5451.6,8719.4,8973.4,393.1,869.7,3.6,,86.77,DEMO_SYNTHETIC
PROD-000094,M002,2026-06-08,6575.3,6153.5,5317.5,9661.3,10497.3,1203.9,421.8,2.0,,93.59,DEMO_SYNTHETIC
PROD-000095,M002,2026-06-09,6575.3,5893.4,5664.4,13545.9,13774.9,998.9,681.9,3.5,,89.63,DEMO_SYNTHETIC
PROD-000096,M002,2026-06-10,6575.3,7141.5,6952.1,36750.4,36939.8,973.0,0,3.1,,108.61,DEMO_SYNTHETIC
PROD-000097,M002,2026-06-11,6575.3,7253.6,6799.8,25703.2,26157.0,1031.5,0,3.4,,110.32,DEMO_SYNTHETIC
PROD-000098,M002,2026-06-12,6575.3,7019.0,6242.7,38203.9,38980.2,408.2,0,0.8,,106.75,DEMO_SYNTHETIC
PROD-000099,M002,2026-06-13,6575.3,5757.0,5196.2,43274.1,43834.9,1111.2,818.3,0.7,,87.55,DEMO_SYNTHETIC
PROD-000100,M002,2026-06-14,6575.3,6360.2,5665.8,21892.0,22586.4,669.7,215.1,3.3,,96.73,DEMO_SYNTHETIC
PROD-000101,M002,2026-06-15,6575.3,5993.8,5643.5,41056.8,41407.1,1031.5,581.5,0.9,,91.16,DEMO_SYNTHETIC
PROD-000102,M002,2026-06-16,6575.3,5670.4,5263.9,35427.9,35834.4,304.9,904.9,0,,86.24,DEMO_SYNTHETIC
PROD-000103,M002,2026-06-17,6575.3,4880.4,4644.4,16983.2,17219.2,616.3,1694.9,3.8,Heavy Rainfall,74.22,DEMO_SYNTHETIC
PROD-000104,M002,2026-06-18,6575.3,5428.4,4467.4,10215.8,11176.8,656.8,1146.9,2.6,,82.56,DEMO_SYNTHETIC
PROD-000105,M002,2026-06-19,6575.3,6399.2,5496.6,35000.0,35902.6,813.3,176.1,0,,97.32,DEMO_SYNTHETIC
PROD-000106,M002,2026-06-20,6575.3,5912.8,5591.1,40501.4,40823.1,542.9,662.5,3.5,,89.92,DEMO_SYNTHETIC
PROD-000107,M002,2026-06-21,6575.3,4892.9,4599.4,41260.3,41553.8,842.9,1682.4,2.5,Equipment Breakdown,74.41,DEMO_SYNTHETIC
PROD-000108,M002,2026-06-22,6575.3,6270.8,5719.6,40783.3,41334.5,729.2,304.5,4.0,,95.37,DEMO_SYNTHETIC
PROD-000109,M002,2026-06-23,6575.3,6490.6,5510.5,22818.7,23798.8,365.3,84.7,4.1,,98.71,DEMO_SYNTHETIC
PROD-000110,M002,2026-06-24,6575.3,5837.2,5246.4,8970.8,9561.6,887.6,738.1,3.7,,88.77,DEMO_SYNTHETIC
PROD-000111,M002,2026-06-25,6575.3,6174.9,5202.3,31342.2,32314.8,930.4,400.4,4.2,,93.91,DEMO_SYNTHETIC
PROD-000112,M002,2026-06-26,6575.3,5913.9,5228.6,25432.2,26117.5,868.4,661.4,3.3,,89.94,DEMO_SYNTHETIC
PROD-000113,M002,2026-06-27,6575.3,5558.5,5329.7,14241.7,14470.5,879.0,1016.8,5.1,,84.54,DEMO_SYNTHETIC
PROD-000114,M002,2026-06-28,6575.3,6359.1,5894.4,14744.8,15209.5,1075.2,216.2,4.0,,96.71,DEMO_SYNTHETIC
PROD-000115,M002,2026-06-29,6575.3,7086.0,6546.2,21676.6,22216.4,794.5,0,0.5,,107.77,DEMO_SYNTHETIC
PROD-000116,M002,2026-06-30,6575.3,6257.7,5980.5,41129.2,41406.4,457.4,317.6,2.1,,95.17,DEMO_SYNTHETIC
PROD-000117,M002,2026-07-01,6575.3,5584.4,5054.0,39875.5,40405.9,344.2,990.9,1.8,,84.93,DEMO_SYNTHETIC
PROD-000118,M002,2026-07-02,6575.3,5839.2,4937.3,24892.0,25793.9,626.3,736.1,1.8,,88.81,DEMO_SYNTHETIC
PROD-000119,M002,2026-07-03,6575.3,6210.6,5128.7,35900.7,36982.6,1029.5,364.7,4.0,,94.45,DEMO_SYNTHETIC
PROD-000120,M002,2026-07-04,6575.3,6379.2,5286.1,14633.3,15726.4,526.8,196.1,2.2,,97.02,DEMO_SYNTHETIC
PROD-000121,M002,2026-07-05,6575.3,6697.9,5722.1,30643.2,31619.0,942.5,0,0.9,,101.86,DEMO_SYNTHETIC
PROD-000122,M002,2026-07-06,6575.3,5951.4,4999.6,25677.4,26629.2,593.4,623.9,6.3,,90.51,DEMO_SYNTHETIC
PROD-000123,M002,2026-07-07,6575.3,5801.9,5189.4,43963.1,44575.6,897.6,773.4,1.9,,88.24,DEMO_SYNTHETIC
PROD-000124,M002,2026-07-08,6575.3,6026.5,5355.3,10934.2,11605.4,1024.4,548.8,4.7,,91.65,DEMO_SYNTHETIC
PROD-000125,M002,2026-07-09,6575.3,4979.7,4864.5,28292.8,28408.0,902.5,1595.6,6.6,Heavy Rainfall,75.73,DEMO_SYNTHETIC
PROD-000126,M002,2026-07-10,6575.3,5751.2,5526.1,44340.3,44565.4,537.6,824.1,4.5,,87.47,DEMO_SYNTHETIC
PROD-000127,M002,2026-07-11,6575.3,6473.0,5544.7,29204.0,30132.3,624.8,102.3,2.6,,98.44,DEMO_SYNTHETIC
PROD-000128,M002,2026-07-12,6575.3,7017.6,5970.3,27751.8,28799.1,724.4,0,3.2,,106.73,DEMO_SYNTHETIC
PROD-000129,M002,2026-07-13,6575.3,6937.5,5738.2,16815.8,18015.1,1071.2,0,3.1,,105.51,DEMO_SYNTHETIC
PROD-000130,M002,2026-07-14,6575.3,6454.2,5564.9,29217.7,30107.0,465.9,121.1,5.4,,98.16,DEMO_SYNTHETIC
PROD-000131,M002,2026-07-15,6575.3,6947.8,6094.9,22510.5,23363.4,1082.0,0,4.0,,105.67,DEMO_SYNTHETIC
PROD-000132,M002,2026-07-16,6575.3,6679.0,6280.0,14067.1,14466.1,743.0,0,2.5,,101.58,DEMO_SYNTHETIC
PROD-000133,M002,2026-07-17,6575.3,6001.2,5534.3,42102.5,42569.4,854.4,574.1,4.9,,91.27,DEMO_SYNTHETIC
PROD-000134,M002,2026-07-18,6575.3,6746.3,5579.0,30140.7,31308.0,627.8,0,0.6,,102.6,DEMO_SYNTHETIC
PROD-000135,M002,2026-07-19,6575.3,5732.3,5022.3,37989.4,38699.4,570.3,843.0,1.7,,87.18,DEMO_SYNTHETIC
PROD-000136,M002,2026-07-20,6575.3,5885.6,5667.7,32068.8,32286.7,1116.3,689.7,2.1,,89.51,DEMO_SYNTHETIC
PROD-000137,M002,2026-07-21,6575.3,6201.0,5851.0,33634.7,33984.7,384.8,374.3,4.9,,94.31,DEMO_SYNTHETIC
PROD-000138,M002,2026-07-22,6575.3,6137.7,5924.6,12722.9,12936.0,1099.1,437.6,3.7,,93.34,DEMO_SYNTHETIC
PROD-000139,M002,2026-07-23,6575.3,6240.8,5511.9,21375.7,22104.6,345.5,334.5,0.6,,94.91,DEMO_SYNTHETIC
PROD-000140,M002,2026-07-24,6575.3,6446.8,5739.4,14871.4,15578.8,994.5,128.5,1.3,,98.05,DEMO_SYNTHETIC
PROD-000141,M002,2026-07-25,6575.3,6345.5,6135.0,24334.6,24545.1,510.2,229.8,2.8,,96.51,DEMO_SYNTHETIC
PROD-000142,M002,2026-07-26,6575.3,6024.0,5107.9,23419.7,24335.8,712.7,551.3,2.1,,91.62,DEMO_SYNTHETIC
PROD-000143,M002,2026-07-27,6575.3,5810.5,5127.6,27168.7,27851.6,327.5,764.8,0.6,,88.37,DEMO_SYNTHETIC
PROD-000144,M002,2026-07-28,6575.3,6783.1,6203.5,44950.6,45530.2,769.9,0,3.6,,103.16,DEMO_SYNTHETIC
PROD-000145,M002,2026-07-29,6575.3,6415.8,5514.9,9481.9,10382.8,1266.8,159.5,1.5,,97.57,DEMO_SYNTHETIC
PROD-000146,M002,2026-07-30,6575.3,5267.8,4791.2,16205.1,16681.7,573.0,1307.5,2.5,,80.11,DEMO_SYNTHETIC
PROD-000147,M002,2026-07-31,6575.3,6263.4,5241.6,13521.0,14542.8,776.7,311.9,0,,95.26,DEMO_SYNTHETIC
PROD-000148,M002,2026-08-01,6575.3,6069.1,5100.3,28713.5,29682.3,1200.0,506.2,3.9,,92.3,DEMO_SYNTHETIC
PROD-000149,M002,2026-08-02,6575.3,6472.8,5527.5,17811.3,18756.6,387.4,102.5,3.8,,98.44,DEMO_SYNTHETIC
PROD-000150,M002,2026-08-03,6575.3,6344.8,5698.2,29940.6,30587.2,930.9,230.5,4.0,,96.49,DEMO_SYNTHETIC
PROD-000151,M002,2026-08-04,6575.3,6230.9,5518.1,38731.7,39444.5,439.5,344.4,0.2,,94.76,DEMO_SYNTHETIC
PROD-000152,M002,2026-08-05,6575.3,6275.4,6096.9,43427.1,43605.6,546.7,299.9,1.8,,95.44,DEMO_SYNTHETIC
PROD-000153,M002,2026-08-06,6575.3,4951.3,4522.6,27414.7,27843.4,958.6,1624.0,1.4,Manpower Constraint,75.3,DEMO_SYNTHETIC
PROD-000154,M002,2026-08-07,6575.3,6265.9,5740.7,8631.9,9157.1,781.2,309.4,3.5,,95.29,DEMO_SYNTHETIC
PROD-000155,M002,2026-08-08,6575.3,6807.9,6406.0,34077.9,34479.8,977.3,0,2.4,,103.54,DEMO_SYNTHETIC
PROD-000156,M002,2026-08-09,6575.3,6726.1,5902.2,33876.0,34699.9,1181.2,0,5.2,,102.29,DEMO_SYNTHETIC
PROD-000157,M002,2026-08-10,6575.3,6096.9,5015.9,18051.0,19132.0,590.7,478.4,3.6,,92.72,DEMO_SYNTHETIC
PROD-000158,M002,2026-08-11,6575.3,5648.1,4972.1,39558.5,40234.5,1030.5,927.2,2.5,,85.9,DEMO_SYNTHETIC
PROD-000159,M002,2026-08-12,6575.3,6713.4,5809.0,43439.7,44344.1,438.1,0,3.2,,102.1,DEMO_SYNTHETIC
PROD-000160,M002,2026-08-13,6575.3,5454.9,5041.4,25980.4,26393.9,890.5,1120.4,4.2,,82.96,DEMO_SYNTHETIC
PROD-000161,M002,2026-08-14,6575.3,6142.8,5660.0,13656.6,14139.4,664.4,432.5,4.2,,93.42,DEMO_SYNTHETIC
PROD-000162,M002,2026-08-15,6575.3,6416.9,6122.7,9330.2,9624.4,974.5,158.4,3.9,,97.59,DEMO_SYNTHETIC
PROD-000163,M002,2026-08-16,6575.3,5844.6,5029.0,44641.6,45457.2,1098.3,730.7,2.2,,88.89,DEMO_SYNTHETIC
PROD-000164,M002,2026-08-17,6575.3,6107.9,5227.5,40514.3,41394.7,309.2,467.4,0.1,,92.89,DEMO_SYNTHETIC
PROD-000165,M002,2026-08-18,6575.3,5730.3,5092.3,26974.8,27612.8,932.0,845.0,3.9,,87.15,DEMO_SYNTHETIC
PROD-000166,M002,2026-08-19,6575.3,6416.7,5340.8,44768.9,45844.8,337.5,158.6,0.7,,97.59,DEMO_SYNTHETIC
PROD-000167,M002,2026-08-20,6575.3,6326.8,6061.5,11831.2,12096.5,668.8,248.5,0.8,,96.22,DEMO_SYNTHETIC
PROD-000168,M002,2026-08-21,6575.3,6309.1,5671.4,44404.7,45042.4,1048.2,266.2,3.4,,95.95,DEMO_SYNTHETIC
PROD-000169,M002,2026-08-22,6575.3,5316.6,4447.9,25479.8,26348.5,358.3,1258.7,4.8,,80.86,DEMO_SYNTHETIC
PROD-000170,M002,2026-08-23,6575.3,5620.8,5266.1,38171.6,38526.3,884.7,954.5,1.1,,85.48,DEMO_SYNTHETIC
PROD-000171,M002,2026-08-24,6575.3,6211.7,5554.3,13740.4,14397.8,748.9,363.6,3.9,,94.47,DEMO_SYNTHETIC
PROD-000172,M002,2026-08-25,6575.3,5552.0,5100.9,31179.2,31630.3,926.5,1023.3,3.2,,84.44,DEMO_SYNTHETIC
PROD-000173,M002,2026-08-26,6575.3,5399.9,4756.6,9002.7,9646.0,578.0,1175.4,1.7,,82.12,DEMO_SYNTHETIC
PROD-000174,M002,2026-08-27,6575.3,6432.7,5414.3,21225.8,22244.2,1139.2,142.6,0.9,,97.83,DEMO_SYNTHETIC
PROD-000175,M002,2026-08-28,6575.3,5983.6,5543.4,8704.9,9145.1,696.3,591.7,2.4,,91.0,DEMO_SYNTHETIC
PROD-000176,M002,2026-08-29,6575.3,6573.3,6233.3,33396.5,33736.5,810.4,2.0,0.1,,99.97,DEMO_SYNTHETIC
PROD-000177,M002,2026-08-30,6575.3,6903.3,6364.8,30264.8,30803.3,996.6,0,5.1,,104.99,DEMO_SYNTHETIC
PROD-000178,M002,2026-08-31,6575.3,5229.2,4318.6,18333.1,19243.7,359.0,1346.1,0,Maintenance Shutdown,79.53,DEMO_SYNTHETIC
PROD-000179,M002,2026-09-01,6575.3,6808.0,5919.6,42563.2,43451.6,1203.1,0,3.0,,103.54,DEMO_SYNTHETIC
PROD-000180,M002,2026-09-02,6575.3,5976.1,5291.2,44957.3,45642.2,1149.2,599.2,4.8,,90.89,DEMO_SYNTHETIC
PROD-000181,M003,2026-06-05,68493.2,66299.1,63275.5,13950.9,16974.5,193428.7,2194.1,1.2,,96.8,DEMO_SYNTHETIC
PROD-000182,M003,2026-06-06,68493.2,71352.0,69685.6,41140.1,42806.5,157596.3,0,0,,104.17,DEMO_SYNTHETIC
PROD-000183,M003,2026-06-07,68493.2,76727.9,72105.2,18595.4,23218.1,118893.2,0,1.1,,112.02,DEMO_SYNTHETIC
PROD-000184,M003,2026-06-08,68493.2,66140.0,59249.9,20139.6,27029.7,96462.1,2353.2,0,,96.56,DEMO_SYNTHETIC
PROD-000185,M003,2026-06-09,68493.2,74454.3,63772.1,11037.7,21719.9,267956.7,0,1.3,,108.7,DEMO_SYNTHETIC
PROD-000186,M003,2026-06-10,68493.2,64793.4,61613.4,40441.9,43621.9,94968.3,3699.8,0,,94.6,DEMO_SYNTHETIC
